Series_Title,Gross,Genre,Released_Year,Month
The Wolf of Wall Street,116900694,Biography,2013,3
Chak De! India,1113541,Drama,2007,6
There Will Be Blood,40222514,Drama,2007,2
Pan's Labyrinth,37634615,Drama,2006,11
Toy Story 3,415004880,Animation,2010,6
V for Vendetta,70511035,Action,2005,6
Rang De Basanti,2197331,Comedy,2006,5
Black,733094,Drama,2005,8
Batman Begins,206852432,Action,2005,5
"Swades: We, the People",1223240,Drama,2004,10
Der Untergang,5509040,Biography,2004,11
Hauru no ugoku shiro,4711096,Animation,2004,12
A Beautiful Mind,170742341,Biography,2001,5
Hera Pheri,1,Action,2000,8
"Lock, Stock and Two Smoking Barrels",3897569,Action,1998,9
L.A. Confidential,64616940,Crime,1997,8
Eskiya,1,Crime,1996,2
Heat,67436818,Crime,1995,10
Casino,42438300,Crime,1995,5
Andaz Apna Apna,1,Action,1994,11
Unforgiven,101157447,Drama,1992,12
Indiana Jones and the Last Crusade,197171806,Action,1989,11
Dom za vesanje,280015,Comedy,1988,8
Tonari no Totoro,1105564,Animation,1988,6
Die Hard,83008852,Action,1988,10
Ran,4135750,Action,1985,2
Raging Bull,23383987,Biography,1980,11
Stalker,234723,Drama,1979,3
Höstsonaten,1,Drama,1978,2
The Message,1,Biography,1976,11
Sholay,1,Action,1975,10
Monty Python and the Holy Grail,1229197,Adventure,1975,7
The Great Escape,12100000,Adventure,1963,11
To Kill a Mockingbird,1,Crime,1962,8
Yôjinbô,1,Action,1961,3
Judgment at Nuremberg,1,Drama,1961,4
Some Like It Hot,25000000,Comedy,1959,1
Smultronstället,1,Drama,1957,4
Det sjunde inseglet,1,Drama,1957,10
Du rififi chez les hommes,57226,Crime,1955,5
Dial M for Murder,12562,Crime,1954,9
Tôkyô monogatari,1,Drama,1953,5
Rashômon,96568,Crime,1950,11
All About Eve,10177,Drama,1950,4
The Treasure of the Sierra Madre,5014000,Adventure,1948,2
To Be or Not to Be,1,Comedy,1942,6
The Gold Rush,5450000,Adventure,1925,11
Sherlock Jr.,977375,Action,1924,8
Portrait de la jeune fille en feu,3759854,Drama,2019,8
Pink,1241223,Drama,2016,8
Koe no katachi,1,Animation,2016,12
Contratiempo,1,Crime,2016,8
Ah-ga-ssi,2006788,Drama,2016,8
Mommy,3492754,Drama,2014,11
Haider,901610,Action,2014,2
Logan,226277068,Action,2017,8
Room,14677674,Drama,2015,5
Relatos salvajes,3107072,Comedy,2014,2
Soul,1,Animation,2020,3
Kis Uykusu,165520,Drama,2014,11
PK,10616104,Comedy,2014,7
OMG: Oh My God!,923221,Comedy,2012,11
The Grand Budapest Hotel,59100318,Adventure,2014,4
Gone Girl,167767189,Drama,2014,10
Ôkami kodomo no Ame to Yuki,1,Animation,2012,10
Hacksaw Ridge,67209615,Biography,2016,3
Inside Out,356461711,Animation,2015,2
Barfi!,2804874,Comedy,2012,10
12 Years a Slave,56671993,Biography,2013,6
Rush,26947624,Action,2013,6
Ford v Ferrari,117624028,Action,2019,10
Spotlight,45055776,Biography,2015,1
Song of the Sea,857524,Animation,2014,11
Kahaani,1035953,Mystery,2012,1
Zindagi Na Milegi Dobara,3108485,Comedy,2011,4
Prisoners,61002302,Crime,2013,3
Mad Max: Fury Road,154058340,Action,2015,11
A Wednesday,1,Action,2008,1
Gran Torino,148095302,Drama,2008,12
Harry Potter and the Deathly Hallows: Part 2,381011219,Adventure,2011,10
Okuribito,1498210,Drama,2008,5
Hachi: A Dog's Tale,1,Biography,2009,8
Mary and Max,1,Animation,2009,9
How to Train Your Dragon,217581231,Animation,2010,1
Into the Wild,18354356,Adventure,2007,6
No Country for Old Men,74283625,Crime,2007,11
Lage Raho Munna Bhai,2217561,Comedy,2006,10
Million Dollar Baby,100492203,Drama,2004,9
Hotel Rwanda,23530892,Biography,2004,10
Taegukgi hwinalrimyeo,1111061,Action,2004,2
Before Sunset,5820649,Drama,2004,11
Munna Bhai M.B.B.S.,1,Comedy,2003,7
Salinui chueok,14131,Crime,2003,6
Dil Chahta Hai,300000,Comedy,2001,11
Kill Bill: Vol. 1,70099045,Action,2003,5
Finding Nemo,380843261,Animation,2003,4
Catch Me If You Can,164615351,Biography,2002,4
Amores perros,5383834,Drama,2000,12
"Monsters, Inc.",289916256,Animation,2001,8
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1,Animation,1997,9
Lagaan: Once Upon a Time in India,70147,Adventure,2001,2
The Sixth Sense,293506292,Drama,1999,7
La leggenda del pianista sull'oceano,259127,Drama,1998,5
The Truman Show,125618201,Comedy,1998,12
"Crna macka, beli macor",348660,Comedy,1998,4
The Big Lebowski,17498804,Comedy,1998,8
Fa yeung nin wah,2734044,Drama,2000,6
Trainspotting,16501785,Drama,1996,10
Fargo,24611975,Crime,1996,3
Underground,171082,Comedy,1995,7
La haine,309811,Crime,1995,6
Dilwale Dulhania Le Jayenge,1,Drama,1995,1
Before Sunrise,5535405,Drama,1995,2
Trois couleurs: Rouge,4043686,Drama,1994,3
Chung Hing sam lam,600200,Comedy,1994,8
Jurassic Park,402453882,Action,1993,9
In the Name of the Father,25010410,Biography,1993,4
Ba wang bie ji,5216888,Drama,1993,4
Dà hóng denglong gaogao guà,2603061,Drama,1991,9
Dead Poets Society,95860116,Comedy,1989,1
Stand by Me,52287414,Adventure,1986,4
Platoon,138530565,Drama,1986,4
"Paris, Texas",2181987,Drama,1984,10
Kaze no tani no Naushika,495770,Animation,1984,9
The Thing,13782838,Horror,1982,5
Pink Floyd: The Wall,22244207,Drama,1982,2
Fitzcarraldo,1,Adventure,1982,5
Fanny och Alexander,4971340,Drama,1982,9
Blade Runner,32868943,Action,1982,8
The Elephant Man,1,Biography,1980,1
Life of Brian,20045115,Comedy,1979,7
The Deer Hunter,48979328,Drama,1978,1
Rocky,117235247,Drama,1976,10
Network,1,Drama,1976,8
Barry Lyndon,1,Adventure,1975,10
Zerkalo,177345,Biography,1975,1
Chinatown,29000000,Drama,1974,3
Paper Moon,30933743,Comedy,1973,9
Viskningar och rop,1742348,Drama,1972,4
Solaris,1,Drama,1972,7
Le samouraï,39481,Crime,1967,10
Cool Hand Luke,16217773,Crime,1967,8
Persona,1,Drama,1966,8
Andrei Rublev,102021,Biography,1966,11
La battaglia di Algeri,55908,Drama,1966,4
El ángel exterminador,1,Drama,1962,2
What Ever Happened to Baby Jane?,4050000,Drama,1962,10
Sanjuro,1,Action,1962,3
The Man Who Shot Liberty Valance,1,Drama,1962,10
Ivanovo detstvo,1,Drama,1962,4
Jungfrukällan,1526000,Drama,1960,6
Inherit the Wind,1,Biography,1960,7
Les quatre cents coups,1,Crime,1959,6
Ben-Hur,74700000,Adventure,1959,10
Kakushi-toride no san-akunin,1,Adventure,1958,4
Le notti di Cabiria,752045,Drama,1957,9
Kumonosu-jô,1,Drama,1957,10
The Bridge on the River Kwai,44908000,Adventure,1957,8
On the Waterfront,9600000,Crime,1954,8
Le salaire de la peur,1,Adventure,1953,5
Ace in the Hole,3969893,Drama,1951,12
White Heat,1,Action,1949,1
The Third Man,449191,Film-Noir,1949,7
The Red Shoes,10900000,Drama,1948,7
The Shop Around the Corner,203300,Comedy,1940,7
Rebecca,4360000,Drama,1940,8
Mr. Smith Goes to Washington,9600000,Comedy,1939,12
Gone with the Wind,198676459,Drama,1939,9
La Grande Illusion,172885,Drama,1937,12
It Happened One Night,4360000,Comedy,1934,4
La passion de Jeanne d'Arc,21877,Biography,1928,11
The Circus,1,Comedy,1928,10
Sunrise: A Song of Two Humans,539540,Drama,1927,8
The General,1033895,Action,1926,3
Das Cabinet des Dr. Caligari,1,Fantasy,1920,1
Badhaai ho,1,Comedy,2018,3
Togo,1,Adventure,2019,12
Airlift,1,Drama,2016,5
Bajrangi Bhaijaan,8178001,Action,2015,9
Baby,1,Action,2015,8
La La Land,151101803,Comedy,2016,5
Lion,51739495,Biography,2016,12
The Martian,228433663,Adventure,2015,9
Zootopia,341268248,Animation,2016,5
Bãhubali: The Beginning,6738000,Action,2015,1
Kaguyahime no monogatari,1506975,Animation,2013,3
Wonder,132422809,Drama,2017,6
Gully Boy,5566534,Drama,2019,10
Special Chabbis,1079369,Crime,2013,4
Short Term 12,1010414,Drama,2013,6
Serbuan maut 2: Berandal,2625803,Action,2014,3
The Imitation Game,91125683,Biography,2014,8
Guardians of the Galaxy,333176600,Action,2014,7
Blade Runner 2049,92054159,Action,2017,2
Her,25568251,Drama,2013,9
Bohemian Rhapsody,216428042,Biography,2018,6
The Revenant,183637894,Action,2015,5
The Perks of Being a Wallflower,17738570,Drama,2012,12
Tropa de Elite 2: O Inimigo Agora é Outro,100119,Action,2010,3
The King's Speech,138797449,Biography,2010,9
The Help,169708112,Drama,2011,11
Deadpool,363070709,Action,2016,1
Darbareye Elly,106662,Drama,2009,7
Dev.D,10950,Drama,2009,9
Yip Man,1,Action,2008,5
My Name Is Khan,4018695,Drama,2010,2
Nefes: Vatan Sagolsun,1,Action,2009,9
Slumdog Millionaire,141319928,Drama,2008,5
Black Swan,106954678,Drama,2010,11
Tropa de Elite,8060,Action,2007,6
The Avengers,623279547,Action,2012,10
Persepolis,4445756,Animation,2007,1
Dallas Buyers Club,27298285,Biography,2013,9
The Pursuit of Happyness,163566459,Biography,2006,3
Blood Diamond,57366262,Adventure,2006,3
The Bourne Ultimatum,227471070,Action,2007,9
Bin-jip,238507,Crime,2004,5
Sin City,74103820,Crime,2005,5
Le scaphandre et le papillon,5990075,Biography,2007,9
G.O.R.A.,1,Adventure,2004,1
Ratatouille,206445654,Animation,2007,1
Casino Royale,167445960,Action,2006,2
Kill Bill: Vol. 2,66208183,Action,2004,3
Vozvrashchenie,502028,Drama,2003,6
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2380788,Drama,2003,2
Mar adentro,2086345,Biography,2014,1
Cinderella Man,61649911,Biography,2005,6
Kal Ho Naa Ho,1787378,Comedy,2003,1
Mou gaan dou,169659,Action,2002,4
Pirates of the Caribbean: The Curse of the Black Pearl,305413918,Action,2003,2
Big Fish,66257002,Adventure,2003,1
The Incredibles,261441092,Animation,2004,4
Yeopgijeogin geunyeo,1,Comedy,2001,6
Dogville,1530386,Crime,2003,2
Vizontele,1,Comedy,2001,9
Donnie Darko,1480006,Drama,2001,6
Magnolia,22455976,Drama,1999,4
Dancer in the Dark,4184036,Crime,2000,1
The Straight Story,6203044,Biography,1999,5
Pâfekuto burû,776665,Animation,1997,8
Festen,1647780,Drama,1998,2
Central do Brasil,5595428,Drama,1998,3
The Iron Giant,23159305,Animation,1999,1
Knockin' on Heaven's Door,3296,Action,1997,9
Sling Blade,24475416,Drama,1996,12
Secrets & Lies,13417292,Comedy,1996,4
Twelve Monkeys,57141459,Mystery,1995,3
Kôkaku Kidôtai,515905,Animation,1995,2
The Nightmare Before Christmas,75082668,Animation,1993,12
Groundhog Day,70906973,Comedy,1993,10
Bound by Honor,4496583,Crime,1993,3
Scent of a Woman,63895607,Drama,1992,7
Aladdin,217350219,Animation,1992,4
JFK,70405498,Drama,1991,6
Beauty and the Beast,218967620,Animation,1991,2
Dances with Wolves,184208848,Adventure,1990,5
Do the Right Thing,27545445,Comedy,1989,6
Rain Man,178800000,Drama,1988,9
Akira,553171,Animation,1988,11
The Princess Bride,30857814,Adventure,1987,3
Der Himmel über Berlin,3333969,Drama,1987,10
Au revoir les enfants,4542825,Drama,1987,2
Tenkû no shiro Rapyuta,1,Animation,1986,7
The Terminator,38400000,Action,1984,5
Gandhi,52767889,Biography,1982,2
Kagemusha,1,Drama,1980,2
Being There,30177511,Comedy,1979,1
Annie Hall,39200000,Comedy,1977,4
Jaws,260000000,Adventure,1975,1
Dog Day Afternoon,50000000,Biography,1975,5
Young Frankenstein,86300000,Comedy,1974,2
Papillon,53267000,Biography,1973,12
The Exorcist,232906145,Horror,1973,12
Sleuth,4081254,Mystery,1972,12
The Last Picture Show,29133000,Drama,1971,2
Fiddler on the Roof,80500000,Drama,1971,12
Il conformista,541940,Drama,1970,3
Butch Cassidy and the Sundance Kid,102308889,Biography,1969,3
Rosemary's Baby,1,Drama,1968,4
Planet of the Apes,33395426,Adventure,1968,6
The Graduate,104945305,Comedy,1967,11
Who's Afraid of Virginia Woolf?,0,Drama,1966,12
The Sound of Music,163214286,Biography,1965,1
Doctor Zhivago,111722000,Drama,1965,7
Per un pugno di dollari,14500000,Action,1964,6
8½,50690,Drama,1963,3
Vivre sa vie: Film en douze tableaux,1,Drama,1962,7
The Hustler,8284000,Drama,1961,2
La dolce vita,19516000,Comedy,1960,8
Rio Bravo,12535000,Action,1959,4
Anatomy of a Murder,11900000,Crime,1959,2
Touch of Evil,2237659,Crime,1958,12
Cat on a Hot Tin Roof,17570324,Drama,1958,6
Sweet Smell of Success,1,Drama,1957,8
The Killing,1,Crime,1956,10
The Night of the Hunter,654000,Crime,1955,11
La Strada,1,Drama,1954,1
Les diaboliques,1,Crime,1955,7
Stalag 17,1,Comedy,1953,1
Roman Holiday,1,Comedy,1953,8
A Streetcar Named Desire,8000000,Drama,1951,10
In a Lonely Place,1,Drama,1950,7
Kind Hearts and Coronets,1,Comedy,1949,6
Rope,1,Crime,1948,10
Out of the Past,1,Crime,1947,5
Brief Encounter,1,Drama,1945,2
Laura,4360000,Drama,1944,5
The Best Years of Our Lives,23650000,Drama,1946,12
Arsenic and Old Lace,1,Comedy,1942,5
The Maltese Falcon,2108060,Film-Noir,1941,9
The Grapes of Wrath,55000,Drama,1940,11
The Wizard of Oz,2076020,Adventure,1939,1
La règle du jeu,1,Comedy,1939,8
The Thin Man,1,Comedy,1934,5
All Quiet on the Western Front,3270000,Drama,1930,5
Bronenosets Potemkin,50970,Drama,1925,5
Knives Out,165359751,Comedy,2019,7
Dil Bechara,1,Comedy,2020,9
Manbiki kazoku,3313513,Crime,2018,10
Marriage Story,2000000,Comedy,2019,8
Call Me by Your Name,18095701,Drama,2017,6
"I, Daniel Blake",258168,Drama,2016,1
Isle of Dogs,32015231,Animation,2018,9
Hunt for the Wilderpeople,5202582,Adventure,2016,7
Captain Fantastic,5875006,Comedy,2016,7
Sing Street,3237118,Comedy,2016,5
Thor: Ragnarok,315058289,Action,2017,5
Nightcrawler,32381218,Crime,2014,3
Jojo Rabbit,349555,Comedy,2019,2
Arrival,100546139,Drama,2016,6
Star Wars: Episode VII - The Force Awakens,936662225,Action,2015,2
Before Midnight,8114627,Drama,2013,5
X-Men: Days of Future Past,233921534,Action,2014,8
Bir Zamanlar Anadolu'da,138730,Crime,2011,11
The Artist,44671682,Comedy,2011,7
Edge of Tomorrow,100206256,Action,2014,10
Amour,6739492,Drama,2012,3
The Irishman,7000000,Biography,2019,10
Un prophète,2084637,Crime,2009,8
Moon,5009677,Drama,2009,4
Låt den rätte komma in,2122065,Crime,2008,1
District 9,115646235,Action,2009,3
The Wrestler,26236603,Drama,2008,9
Jab We Met,410800,Comedy,2007,11
Boyhood,25379975,Drama,2014,7
"4 luni, 3 saptamâni si 2 zile",1185783,Drama,2007,7
Star Trek,257730019,Action,2009,10
In Bruges,7757130,Comedy,2008,2
The Man from Earth,1,Drama,2007,9
Letters from Iwo Jima,13756082,Action,2006,10
The Fall,2280348,Adventure,2006,2
Life of Pi,124987023,Adventure,2012,1
Fantastic Mr. Fox,21002919,Animation,2009,1
C.R.A.Z.Y.,1,Comedy,2005,6
Les choristes,3635164,Drama,2004,1
Iron Man,318412101,Action,2008,11
Shaun of the Dead,13542874,Comedy,2004,8
Gegen die Wand,1,Drama,2004,12
Mystic River,90135191,Crime,2003,5
Harry Potter and the Prisoner of Azkaban,249358727,Adventure,2004,11
Ying xiong,53710019,Action,2002,7
Hable con ella,9284265,Drama,2002,5
No Man's Land,1059830,Comedy,2001,8
Cowboy Bebop: Tengoku no tobira,1000045,Animation,2001,12
The Bourne Identity,121661683,Action,2002,3
Nueve reinas,1221261,Crime,2000,5
Children of Men,35552383,Adventure,2006,3
Almost Famous,32534850,Adventure,2000,1
Mulholland Dr.,7220243,Drama,2001,3
Toy Story 2,245852179,Animation,1999,6
Boogie Nights,26400640,Drama,1997,2
Mimi wo sumaseba,1,Animation,1995,5
Once Were Warriors,2201126,Crime,1994,6
True Romance,12281500,Crime,1993,4
Trois couleurs: Bleu,1324974,Drama,1993,12
Jûbê ninpûchô,1,Animation,1993,6
Carlito's Way,36948322,Crime,1993,4
Edward Scissorhands,56362352,Drama,1990,9
My Left Foot: The Story of Christy Brown,14743391,Biography,1989,8
Crimes and Misdemeanors,18254702,Comedy,1989,2
The Untouchables,76270454,Crime,1987,11
Hannah and Her Sisters,40084041,Comedy,1986,8
Brazil,9929135,Drama,1985,5
This Is Spinal Tap,188751,Comedy,1984,9
A Christmas Story,20605209,Comedy,1983,12
The Blues Brothers,57229890,Action,1980,2
Manhattan,45700000,Comedy,1979,3
All That Jazz,37823676,Drama,1979,11
Dawn of the Dead,5100000,Action,1978,1
All the President's Men,70600000,Biography,1976,5
La montaña sagrada,61001,Adventure,1973,5
Amarcord,1,Comedy,1973,5
Le charme discret de la bourgeoisie,198809,Comedy,1972,1
"Aguirre, der Zorn Gottes",1,Action,1972,8
Harold and Maude,1,Comedy,1971,9
Patton,61700000,Biography,1970,9
The Wild Bunch,12064472,Action,1969,10
Night of the Living Dead,89029,Horror,1968,5
The Lion in Winter,22276975,Biography,1968,1
In the Heat of the Night,24379978,Crime,1967,2
Charade,13474588,Comedy,1963,5
The Manchurian Candidate,1,Drama,1962,2
Spartacus,30000000,Adventure,1960,4
L'avventura,1,Drama,1960,8
Hiroshima mon amour,88300,Drama,1959,6
The Ten Commandments,93740000,Adventure,1956,9
The Searchers,1,Adventure,1956,9
East of Eden,1,Drama,1955,11
High Noon,9450000,Drama,1952,5
Strangers on a Train,7630000,Crime,1951,12
Harvey,1,Comedy,1950,8
Miracle on 34th Street,2650000,Comedy,1947,5
Notorious,10464000,Drama,1946,12
The Big Sleep,6540000,Crime,1946,5
The Lost Weekend,9460000,Drama,1945,6
The Philadelphia Story,1,Comedy,1940,3
His Girl Friday,296000,Comedy,1940,7
The Adventures of Robin Hood,3981000,Action,1938,8
A Night at the Opera,2537520,Comedy,1935,6
King Kong,10000000,Adventure,1933,8
Freaks,1,Drama,1932,4
Nosferatu,1,Fantasy,1922,5
The Gentlemen,1,Action,2019,7
Raazi,1,Action,2018,10
Sound of Metal,1,Drama,2019,3
Forushande,2402067,Drama,2016,8
Dunkirk,188373161,Action,2017,9
Perfetti sconosciuti,1,Comedy,2016,3
Hidden Figures,169607287,Biography,2016,9
Paddington 2,40442052,Adventure,2017,1
Udta Punjab,1,Action,2016,6
Kubo and the Two Strings,48023088,Animation,2016,12
M.S. Dhoni: The Untold Story,1782795,Biography,2016,5
Manchester by the Sea,47695120,Drama,2016,10
Under sandet,435266,Drama,2015,4
Rogue One,532177324,Action,2016,4
Captain America: Civil War,408084349,Action,2016,7
The Hateful Eight,54117416,Crime,2015,9
Little Women,108101214,Drama,2019,6
Loving Vincent,6735118,Animation,2017,6
Pride,1,Biography,2014,8
Le passé,1330596,Drama,2013,2
La grande bellezza,2852400,Drama,2013,2
The Lunchbox,4231500,Drama,2013,8
Vicky Donor,169209,Comedy,2012,2
Big Hero 6,222527828,Animation,2014,6
About Time,15322921,Comedy,2013,8
English Vinglish,1670773,Comedy,2012,6
Kaze tachinu,5209580,Animation,2013,1
Toy Story 4,434038008,Animation,2019,9
La migliore offerta,85433,Crime,2013,3
Moonrise Kingdom,45512466,Comedy,2012,8
How to Train Your Dragon 2,177002924,Animation,2014,9
The Big Short,70259870,Biography,2015,8
Kokuhaku,1,Drama,2010,9
Ang-ma-reul bo-at-da,128392,Action,2010,12
The Girl with the Dragon Tattoo,102515793,Crime,2011,3
Captain Phillips,107100855,Adventure,2013,5
Ajeossi,6460,Action,2010,1
Straight Outta Compton,161197785,Biography,2015,2
Madeo,547292,Crime,2009,1
Chugyeokja,1,Action,2008,7
The Hobbit: The Desolation of Smaug,258366855,Adventure,2013,7
Das weiße Band - Eine deutsche Kindergeschichte,2222647,Drama,2009,6
Män som hatar kvinnor,10095170,Crime,2009,11
The Trial of the Chicago 7,1,Drama,2020,10
Druk,1,Comedy,2020,9
The Fighter,93617009,Biography,2010,7
Taken,145000989,Action,2008,2
The Boy in the Striped Pyjamas,9030581,Drama,2008,7
Once,9439923,Drama,2007,6
The Hobbit: An Unexpected Journey,303003568,Adventure,2012,7
Auf der anderen Seite,741283,Drama,2007,8
Atonement,50927067,Drama,2007,10
Drive,35061555,Crime,2011,10
American Gangster,130164645,Biography,2007,9
Avatar,760507625,Action,2009,3
Mr. Nobody,3600,Drama,2009,2
Apocalypto,50866635,Action,2006,6
Little Miss Sunshine,59891098,Comedy,2006,12
Hot Fuzz,23637265,Action,2007,6
The Curious Case of Benjamin Button,127509326,Drama,2008,1
Veer-Zaara,2921738,Drama,2004,6
Adams æbler,1305,Comedy,2005,8
Pride & Prejudice,38405088,Drama,2005,5
The World's Fastest Indian,5128124,Biography,2005,2
Tôkyô goddofâzâzu,128985,Animation,2003,6
Serenity,25514517,Action,2005,6
Walk the Line,119519402,Biography,2005,5
Ondskan,15280,Drama,2003,12
The Notebook,81001787,Drama,2004,6
Diarios de motocicleta,16756372,Adventure,2004,6
Lilja 4-ever,181655,Crime,2002,6
Les triplettes de Belleville,7002255,Animation,2003,4
Gongdong gyeongbi guyeok JSA,1,Action,2000,2
The Count of Monte Cristo,54234062,Action,2002,10
Waking Life,2892011,Animation,2001,5
